Identifier,Remark,Identifier,default,ru
(Column is unused),Tabs size for this file: 4.,,,
,,,,
,,MANPAGES_CCMD_ACSPROFILE_NAME,acsprofile [clear | [<sort-function>] [<limit>]],
,,MANPAGES_CCMD_ACSPROFILE_DESC,"Provides {{ACS}} profiling information. Optional arguments can be passed to it:
- {{sort-function}} specifies which column to sort on (total, min, max, avg, or runs). The default is total.
- {{limit}} specifies how many rows to limit the output to. The default is 10. 0 or less will print every script or function that has at least one run.
- {{clear}} resets all profiling statistics to 0. It cannot be used with either of the other two optional arguments.",
,,MANPAGES_CCMD_ACSPROFILE_EXMP,,
,,MANPAGES_CCMD_ACTORLIST_NAME,actorlist [class or TID],
,,MANPAGES_CCMD_ACTORLIST_DESC,"Prints a list of all actors present in the map, each on a line of the form ClassName at (X, Y, Z). At the end of the list, the total count of found actors is printed. Passing an actor class name to the command, filters the list, listing only those with the matching class name. Passing a TID instead of a class name, filters the list by TID.",
,,MANPAGES_CCMD_ACTORLIST_EXMP,,
,,MANPAGES_CCMD_ACTORNUM_NAME,actornum [class or TID],
,,MANPAGES_CCMD_ACTORNUM_DESC,"Prints the total count of all actors present in the map. Passing an actor class name to the command, prints the total count of that class only. Passing a TID instead of a class name, prints the total count or actors with the matching TID.",
,,MANPAGES_CCMD_ACTORNUM_EXMP,,
,,MANPAGES_CCMD_ADDBOT_NAME,addbot [name],
,,MANPAGES_CCMD_ADDBOT_DESC,"Spawns a bot. If {{name}} is given, the corresponding bot in bots.cfg will be spawned. Otherwise, a bot will be picked at random from bots.cfg.",
,,MANPAGES_CCMD_ADDBOT_EXMP,,
,,MANPAGES_CCMD_ADDKEYSECTION_NAME,addkeysection <menu heading> <ini section>,
,,MANPAGES_CCMD_ADDKEYSECTION_DESC,"This command does two things. First, it adds a new heading to the controls menu using the {{menu heading}} parameter. You can use the addmenukey command to add your own custom keys beneath this heading. Second, it loads all the bindings from the corresponding {{ini section}} in the user's ini file. You can use this command multiple times to create different sections in the menu and ini for different sets of commands. If you use a menu heading that was already added to the menu, new controls added with addmenukey will appear at the end of that section, but the bindings will not be reloaded from the ini.",
,,MANPAGES_CCMD_ADDKEYSECTION_EXMP,,
,,MANPAGES_CCMD_ADDMENUKEY_NAME,addmenukey <description> <command>,
,,MANPAGES_CCMD_ADDMENUKEY_DESC,"Adds a new control to the controls menu. {{description}} is the name of this control in the menu, and {{command}} is a console command or alias to be executed when the control is pressed. New controls are added to the last section specified with addkeysection.",
,,MANPAGES_CCMD_ADDMENUKEY_EXMP,,
,,MANPAGES_CCMD_ADDPLAYERCLASS_NAME,addplayerclass <player class> [nomenu],
